Positive Words;Negatif Words
kebanggaan bangsa;pelanggaran
puncak kejayaan;kealpaan
kecemerlangan;keteledoran
kejayaan;kegaduhan
keunggulan;kekacauan
kemajuan;kegagalan
kesuksesan;kesalahan
kesejahteraan;kelalaian
kemakmuran;kelemahan
keberhasilan;kebodohan
keberuntungan;keterbatasan
kebahagiaan;ketidakmampuan
ketenangan;ketidakberdayaan
kesehatan;kebuntuan
keselamatan;kekalahan
keharmonisan;kegagalan
keselarasan;ketidakberhasilan
kebersamaan;ketidakpuasan
solidaritas;ketidakpercayaan
persatuan;ketidaksukaan
keakraban;ketidakpedulian
kebahagiaan;ketidaksetujuan
keceriaan;penurunan
keberanian;pelemahan
keteguhan;pengurangan
ketekunan;penyusutan
kegigihan;kehilangan
keuletan;kerusakan
ketangguhan;kerugian
ketabahan;kehancuran
kemandirian;kematian
kepercayaan diri;kemunduran
optimisme;kekacauan
harapan;konflik
keyakinan;pertikaian
kepercayaan;perselisihan
kecerdasan;perpecahan
kreativitas;perang
inovasi;pengkhianatan
keterampilan;penghinaan
keahlian;pengabaian
kemampuan;pengingkaran
kualitas;pelanggaran
nilai tambah;pelampauan
manfaat;pelampiasan
keunggulan;penyelewengan
kesempurnaan;penyalahgunaan
kecantikan;penipuan
keindahan;pemalsuan
keunikan;pembohongan
kekhasan;penyesatan
kepuasan;penggelapan
kenyamanan;pencurian
keamanan;perampokan
ketentraman;perampasan
;penganiayaan
;pembunuhan
;pemusnahan
